Name,Salary,Position,Age,Block,Steal,Assist,Two Points,Three Points
Chinanu Onuaku,1312611,C,20,0.2,0.6,0.6,1.0,0.0
Chris McCullough,1471382,PF,21,0.125,0.125,0.125,0.9375,0.0625
Chris Paul,24599495,PG,31,0.13114754098360656,1.9344262295081966,9.229508196721312,4.098360655737705,2.0327868852459017
Clint Capela,2334520,C,22,1.2307692307692308,0.5230769230769231,0.9846153846153847,5.569230769230769,0.0
Cody Zeller,12584270,PF,24,0.9354838709677419,1.0,1.596774193548387,4.080645161290323,0.0
Cole Aldrich,7300000,C,28,0.3709677419354839,0.4032258064516129,0.4032258064516129,0.7258064516129032,0.0
Corey Brewer,7579366,SF,30,0.23170731707317074,0.7439024390243902,1.1829268292682926,1.4634146341463414,0.32926829268292684
Cory Joseph,7630000,SG,25,0.1625,0.825,3.3125,3.1375,0.6
Courtney Lee,11747890,SG,31,0.2987012987012987,1.051948051948052,2.324675324675325,2.7662337662337664,1.4025974025974026
Cristiano Felicio,7843500,C,24,0.24242424242424243,0.3787878787878788,0.6060606060606061,1.9393939393939394,0.0
D.J. Augustin,7250000,PG,29,0.01282051282051282,0.3974358974358974,2.6794871794871793,1.2820512820512822,1.2179487179487178
Damian Jones,1312611,C,21,0.4,0.1,0.0,0.8,0.0
Damian Lillard,26153057,PG,26,0.26666666666666666,0.9066666666666666,5.8533333333333335,5.96,2.8533333333333335
Daniel Ochefu,50000,C,23,0.0,0.10526315789473684,0.15789473684210525,0.631578947368421,0.0
Danilo Gallinari,20559599,SF,28,0.23809523809523808,0.6349206349206349,2.142857142857143,3.3174603174603177,2.0
Danny Green,10000000,SG,29,0.8529411764705882,1.0441176470588236,1.8235294117647058,0.8529411764705882,1.7352941176470589
Dante Cunningham,2300000,SF,29,0.42424242424242425,0.5909090909090909,0.5454545454545454,1.5606060606060606,1.0757575757575757
Dante Exum,4992385,PG,21,0.18181818181818182,0.3181818181818182,1.696969696969697,1.6818181818181819,0.6666666666666666
Dario Saric,2422560,PF,22,0.37037037037037035,0.7037037037037037,2.246913580246914,3.3950617283950617,1.308641975308642
Darrell Arthur,7464912,PF,28,0.5121951219512195,0.4634146341463415,1.024390243902439,1.024390243902439,1.2926829268292683
Darren Collison,10000000,PG,29,0.1323529411764706,0.9852941176470589,4.588235294117647,3.926470588235294,1.0735294117647058
David Nwaba,1312611,SG,24,0.35,0.65,0.7,2.3,0.05
David West,2328652,C,36,0.7058823529411765,0.6176470588235294,2.2205882352941178,1.9411764705882353,0.04411764705882353
Davis Bertans,1312611,PF,24,0.417910447761194,0.29850746268656714,0.6865671641791045,0.5074626865671642,1.0298507462686568
